   454	2022-03-12T13:56:09.840 INFO bellperson::gpu::multiexp > ----------------------------------kernel run time: 205.691972ms
   442	2022-03-12T14:00:56.883 INFO bellperson::gpu::multiexp > n:1000000, window_size:3, num_windows:86, num_groups:202, bucket_len:8
   454	2022-03-12T14:00:57.059 INFO bellperson::gpu::multiexp > ----------------------------------kernel run time: 162.03187ms
   442	2022-03-12T14:05:41.782 INFO bellperson::gpu::multiexp > n:1000000, window_size:4, num_windows:64, num_groups:272, bucket_len:16
   454	2022-03-12T14:05:41.928 INFO bellperson::gpu::multiexp > ----------------------------------kernel run time: 116.210467ms
   442	2022-03-12T14:10:26.221 INFO bellperson::gpu::multiexp > n:1000000, window_size:5, num_windows:52, num_groups:334, bucket_len:32
   454	2022-03-12T14:10:26.345 INFO bellperson::gpu::multiexp > ----------------------------------kernel run time: 106.932723ms
   442	2022-03-12T14:15:10.398 INFO bellperson::gpu::multiexp > n:1000000, window_size:6, num_windows:43, num_groups:404, bucket_len:64
   454	2022-03-12T14:15:10.507 INFO bellperson::gpu::multiexp > ----------------------------------kernel run time: 94.442566ms
   442	2022-03-12T14:19:54.250 INFO bellperson::gpu::multiexp > n:1000000, window_size:7, num_windows:37, num_groups:470, bucket_len:128
   454	2022-03-12T14:19:54.348 INFO bellperson::gpu::multiexp > ----------------------------------kernel run time: 82.447215ms
   442	2022-03-12T14:24:41.963 INFO bellperson::gpu::multiexp > n:1000000, window_size:8, num_windows:32, num_groups:544, bucket_len:256
   454	2022-03-12T14:24:42.070 INFO bellperson::gpu::multiexp > ----------------------------------kernel run time: 89.470131ms
   442	2022-03-12T14:29:27.272 INFO bellperson::gpu::multiexp > n:1000000, window_size:9, num_windows:29, num_groups:600, bucket_len:512
   454	2022-03-12T14:29:27.404 INFO bellperson::gpu::multiexp > ----------------------------------kernel run time: 114.987759ms
   442	2022-03-12T14:34:15.868 INFO bellperson::gpu::multiexp > n:1000000, window_size:10, num_windows:26, num_groups:669, bucket_len:1024
   454	2022-03-12T14:34:16.054 INFO bellperson::gpu::multiexp > ----------------------------------kernel run time: 167.411341ms
   442	2022-03-12T14:39:06.631 INFO bellperson::gpu::multiexp > n:1000000, window_size:11, num_windows:24, num_groups:725, bucket_len:2048
   454	2022-03-12T14:39:06.942 INFO bellperson::gpu::multiexp > ----------------------------------kernel run time: 286.250574ms
   442	2022-03-12T14:43:12.574 INFO bellperson::gpu::multiexp > n:2000000, window_size:1, num_windows:256, num_groups:68, bucket_len:2
   454	2022-03-12T14:43:13.264 INFO bellperson::gpu::multiexp > ----------------------------------kernel run time: 662.642563ms
   442	2022-03-12T14:48:03.287 INFO bellperson::gpu::multiexp > n:2000000, window_size:2, num_windows:128, num_groups:136, bucket_len:4
   454	2022-03-12T14:48:03.730 INFO bellperson::gpu::multiexp > ----------------------------------kernel run time: 411.829477ms
   442	2022-03-12T14:52:51.659 INFO bellperson::gpu::multiexp > n:2000000, window_size:3, num_windows:86, num_groups:202, bucket_len:8
   454	2022-03-12T14:52:52.021 INFO bellperson::gpu::multiexp > ----------------------------------kernel run time: 325.146822ms
   442	2022-03-12T14:57:38.731 INFO bellperson::gpu::multiexp > n:2000000, window_size:4, num_windows:64, num_groups:272, bucket_len:16
   454	2022-03-12T14:57:38.990 INFO bellperson::gpu::multiexp > ----------------------------------kernel run time: 232.124834ms
   442	2022-03-12T15:02:24.351 INFO bellperson::gpu::multiexp > n:2000000, window_size:5, num_windows:52, num_groups:334, bucket_len:32
   454	2022-03-12T15:02:24.599 INFO bellperson::gpu::multiexp > ----------------------------------kernel run time: 212.987274ms
   442	2022-03-12T15:07:08.743 INFO bellperson::gpu::multiexp > n:2000000, window_size:6, num_windows:43, num_groups:404, bucket_len:64
   454	2022-03-12T15:07:08.954 INFO bellperson::gpu::multiexp > ----------------------------------kernel run time: 182.884151ms
   442	2022-03-12T15:11:53.067 INFO bellperson::gpu::multiexp > n:2000000, window_size:7, num_windows:37, num_groups:470, bucket_len:128
   454	2022-03-12T15:11:53.259 INFO bellperson::gpu::multiexp > ----------------------------------kernel run time: 151.903589ms
   442	2022-03-12T15:16:37.442 INFO bellperson::gpu::multiexp > n:2000000, window_size:8, num_windows:32, num_groups:544, bucket_len:256
   454	2022-03-12T15:16:37.622 INFO bellperson::gpu::multiexp > ----------------------------------kernel run time: 148.959885ms
   442	2022-03-12T15:21:25.234 INFO bellperson::gpu::multiexp > n:2000000, window_size:9, num_windows:29, num_groups:600, bucket_len:512
   454	2022-03-12T15:21:25.448 INFO bellperson::gpu::multiexp > ----------------------------------kernel run time: 174.214323ms
   442	2022-03-12T15:26:13.283 INFO bellperson::gpu::multiexp > n:2000000, window_size:10, num_windows:26, num_groups:669, bucket_len:1024
   454	2022-03-12T15:26:13.543 INFO bellperson::gpu::multiexp > ----------------------------------kernel run time: 218.692205ms
   442	2022-03-12T15:31:02.375 INFO bellperson::gpu::multiexp > n:2000000, window_size:11, num_windows:24, num_groups:725, bucket_len:2048
   454	2022-03-12T15:31:02.757 INFO bellperson::gpu::multiexp > ----------------------------------kernel run time: 339.423866ms
   442	2022-03-12T15:35:04.483 INFO bellperson::gpu::multiexp > n:3000000, window_size:1, num_windows:256, num_groups:68, bucket_len:2
   454	2022-03-12T15:35:05.523 INFO bellperson::gpu::multiexp > ----------------------------------kernel run time: 991.954317ms
   442	2022-03-12T15:39:56.150 INFO bellperson::gpu::multiexp > n:3000000, window_size:2, num_windows:128, num_groups:136, bucket_len:4
   454	2022-03-12T15:39:56.824 INFO bellperson::gpu::multiexp > ----------------------------------kernel run time: 619.92404ms
   442	2022-03-12T15:44:43.438 INFO bellperson::gpu::multiexp > n:3000000, window_size:3, num_windows:86, num_groups:202, bucket_len:8
   454	2022-03-12T15:44:43.971 INFO bellperson::gpu::multiexp > ----------------------------------kernel run time: 487.057028ms
   442	2022-03-12T15:49:29.398 INFO bellperson::gpu::multiexp > n:3000000, window_size:4, num_windows:64, num_groups:272, bucket_len:16
   454	2022-03-12T15:49:29.788 INFO bellperson::gpu::multiexp > ----------------------------------kernel run time: 348.325834ms
   442	2022-03-12T15:54:13.840 INFO bellperson::gpu::multiexp > n:3000000, window_size:5, num_windows:52, num_groups:334, bucket_len:32
   454	2022-03-12T15:54:14.261 INFO bellperson::gpu::multiexp > ----------------------------------kernel run time: 319.502171ms
   442	2022-03-12T15:58:59.937 INFO bellperson::gpu::multiexp > n:3000000, window_size:6, num_windows:43, num_groups:404, bucket_len:64
   454	2022-03-12T15:59:00.267 INFO bellperson::gpu::multiexp > ----------------------------------kernel run time: 271.744927ms
   442	2022-03-12T16:03:48.973 INFO bellperson::gpu::multiexp > n:3000000, window_size:7, num_windows:37, num_groups:470, bucket_len:128
   454	2022-03-12T16:03:49.283 INFO bellperson::gpu::multiexp > ----------------------------------kernel run time: 221.257016ms
